Region,Department,Total Allocation
Abia,Aba North,144793588.70
Abia,Aba South,242039238.53
Abia,Arochukwu,178802980.70
Abia,Bende,181274836.90
Abia,Ikwuano,159739836.02
Abia,Isiala Ngwa North,166232129.42
Abia,Isiala Ngwa South,160789073.19
Abia,Isuikwuato,164795480.87
Abia,Umu-Nneochi,167109793.78
Abia,Obi Ngwa,175247463.31
Abia,Ohafia,195322315.63
Abia,Osisioma Ngwa,179277716.40
Abia,Ugwunagbo,141253574.63
Abia,Ukwa East,131645763.67
Abia,Ukwa West,137548572.50
Abia,Umuahia North,195586160.08
Abia,Umuahia South,161673457.39
Adamawa,Demsa,181196784.97
Adamawa,Furore,221047023.00
Adamawa,Ganye,186095972.77
Adamawa,Girei,171128956.45
Adamawa,Gombi,167152358.64
Adamawa,Guyuk,173959693.36
Adamawa,Hong,190366849.53
Adamawa,Jada,190975517.70
Adamawa,Yola North,171944773.42
Adamawa,Lamurde,157729556.62
Adamawa,Madagali,158649546.19
Adamawa,Maiha,157149119.80
Adamawa,Mayo-Belwa,177317160.30
Adamawa,Michika,170464381.57
Adamawa,Mubi North,166295052.53
Adamawa,Mubi South,157009150.12
Adamawa,Numan,147972521.78
Adamawa,Shelleng,166168240.03
Adamawa,Song,207924359.19
Adamawa,Toungo,173427735.08
Adamawa,Yola South,182472521.14
Akwa Ibom,Abak,172053289.78
Akwa Ibom,Eastern Obolo,136676267.17
Akwa Ibom,Eket,180556329.07
Akwa Ibom,Nsit Atai,143023426.25
Akwa Ibom,Essien Udim,183906790.80
Akwa Ibom,Etim Ekpo,156650146.62
Akwa Ibom,Etinan,178581700.04
Akwa Ibom,Ibeno,140968647.30
Akwa Ibom,Ibesikpo Asutan,170169181.38
Akwa Ibom,Ibiono Ibom,184455647.60
Akwa Ibom,Ika,142040610.04
Akwa Ibom,Ikono,172103268.81
Akwa Ibom,Ikot Abasi,169297043.37
Akwa Ibom,Ikot Ekpene,170027584.51
Akwa Ibom,Ini,151461732.79
Akwa Ibom,Itu,162292728.77
Akwa Ibom,Mbo,155076270.48
Akwa Ibom,Mkpat Enin,181396585.61
Akwa Ibom,Nsit Ibom,155532104.86
Akwa Ibom,Nsit Ubium,163176655.12
Akwa Ibom,Obot Akara,171996644.66
Akwa Ibom,Okobo,154146501.66
Akwa Ibom,Onna,157720201.96
Akwa Ibom,Oron,147016481.68
Akwa Ibom,Oruk Anam,187001737.89
Akwa Ibom,Udung Uko,137340637.72
Akwa Ibom,Ukanafun,167352656.32
Akwa Ibom,Esit Eket,138032424.22
Akwa Ibom,Uruan,165259823.92
Akwa Ibom,Urue Offong/Oruk,137081268.20
Akwa Ibom,Uyo,223264493.28
Anambra,AGUATA,229670927.80
Anambra,ANAMBRA EAST,156895992.42
Anambra,ANAMBRA WEST,171899351.11
Anambra,ANAOCHA,203186008.27
Anambra,AWKA NORTH,148151875.01
Anambra,AWKA SOUTH,172681944.30
Anambra,AYAMELUM,161823858.97
Anambra,DUNUKOFIA,146097935.92
Anambra,EKWUSIGO,160450763.67
Anambra,IDEMILI NORTH,253228008.37
Anambra,IDEMILI SOUTH,170737901.02
Anambra,IHIALA,214142101.40
Anambra,NJIKOKA,161082306.34
Anambra,NNEWI NORTH,160124834.13
Anambra,NNEWI SOUTH,188201030.22
